Employee,Min_Hours,Max_Hours,Max_days
Employee501603,4,8,1
Employee501715,4,8,1
Employee501716,4,8,1
Employee501721,4,8,1
Employee501768,4,8,1
Employee501792,4,8,1
Employee501587,4,8,1
Employee501595,4,8,1
