,Employee,Day,TSlot,Assignment
473,Employee501595,15/11/2018,15:15:00,Downtown Platform
474,Employee501595,15/11/2018,15:30:00,Downtown Platform
475,Employee501595,15/11/2018,15:45:00,Downtown Platform
476,Employee501595,15/11/2018,16:00:00,Downtown Platform
477,Employee501595,15/11/2018,16:15:00,Downtown Platform
478,Employee501595,15/11/2018,16:30:00,Downtown Platform
479,Employee501595,15/11/2018,16:45:00,Downtown Platform
480,Employee501595,16/11/2018,09:00:00,Downtown Platform
481,Employee501595,16/11/2018,09:15:00,Downtown Platform
482,Employee501595,16/11/2018,09:30:00,Downtown Platform
483,Employee501595,16/11/2018,09:45:00,Downtown Platform
484,Employee501595,16/11/2018,10:00:00,Downtown Platform
485,Employee501595,16/11/2018,10:15:00,Downtown Platform
486,Employee501595,16/11/2018,10:30:00,Downtown Platform
487,Employee501595,16/11/2018,10:45:00,Downtown Platform
488,Employee501595,16/11/2018,11:00:00,Downtown Platform
489,Employee501595,16/11/2018,11:15:00,Downtown Platform
490,Employee501595,16/11/2018,11:30:00,Downtown Platform
491,Employee501595,16/11/2018,11:45:00,Downtown Platform
492,Employee501595,16/11/2018,12:00:00,Downtown Platform
493,Employee501595,16/11/2018,12:15:00,Downtown Platform
494,Employee501595,16/11/2018,12:30:00,Downtown Platform
495,Employee501595,16/11/2018,12:45:00,Downtown Platform
496,Employee501595,16/11/2018,13:00:00,Downtown Platform
497,Employee501595,16/11/2018,13:15:00,Downtown Platform
498,Employee501595,16/11/2018,13:30:00,Downtown Platform
499,Employee501595,16/11/2018,13:45:00,Downtown Platform
500,Employee501595,16/11/2018,14:00:00,Downtown Platform
501,Employee501595,16/11/2018,14:15:00,Downtown Platform
502,Employee501595,16/11/2018,14:30:00,Downtown Platform
503,Employee501595,16/11/2018,14:45:00,Downtown Platform
504,Employee501595,16/11/2018,15:00:00,Downtown Platform
505,Employee501595,16/11/2018,15:15:00,Downtown Platform
506,Employee501595,16/11/2018,15:30:00,Downtown Platform
507,Employee501595,16/11/2018,15:45:00,Downtown Platform
508,Employee501595,16/11/2018,16:00:00,Downtown Platform
509,Employee501595,16/11/2018,16:15:00,Downtown Platform
510,Employee501595,16/11/2018,16:30:00,Downtown Platform
511,Employee501595,16/11/2018,16:45:00,Downtown Platform
