Employee,Min_Hours,Max_Hours,Max_days
Employee501603,10,16,2
Employee501715,10,16,2
Employee501716,10,16,2
Employee501721,10,16,2
Employee501768,10,16,2
Employee501792,10,16,2
Employee501587,10,16,2
Employee501595,10,16,2
